layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,0.923076923076923,0.15384615384615383,0.440923076923077,0.01743220171994156,0.25,10,llm,molmo2
4,0.923076923076923,0.15384615384615383,0.4275384615384616,0.018973042227353736,0.25,10,llm,molmo2
8,0.9807692307692306,0.038461538461538464,0.4206153846153846,0.02073158982249182,0.25,10,llm,molmo2
12,0.923076923076923,0.15384615384615383,0.3750769230769231,0.030218533440814255,0.25,10,llm,molmo2
16,0.923076923076923,0.15384615384615383,0.3383076923076923,0.041444052256694466,0.25,10,llm,molmo2
20,0.923076923076923,0.15384615384615383,0.30807692307692314,0.04273663672240947,0.25,10,llm,molmo2
24,0.923076923076923,0.15384615384615383,0.31246153846153846,0.034112240770934436,0.25,10,llm,molmo2
28,0.923076923076923,0.15384615384615383,0.32892307692307693,0.040765166706000916,0.25,10,llm,molmo2
32,0.923076923076923,0.15384615384615383,0.2937692307692308,0.033332554231526174,0.25,10,llm,molmo2
35,0.923076923076923,0.15384615384615383,0.3133076923076923,0.05444507573866849,0.25,10,llm,molmo2
