layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,1.0,0.0,0.34715384615384615,0.033604117104761626,0.25,10,llm,qwen2.5-vl
3,1.0,0.0,0.31807692307692303,0.03192493043738629,0.25,10,llm,qwen2.5-vl
6,1.0,0.0,0.3345384615384615,0.04195298862343265,0.25,10,llm,qwen2.5-vl
9,1.0,0.0,0.3513846153846154,0.036377052393348215,0.25,10,llm,qwen2.5-vl
12,1.0,0.0,0.30800000000000005,0.029032118512527516,0.25,10,llm,qwen2.5-vl
15,1.0,0.0,0.30015384615384616,0.04071520367934917,0.25,10,llm,qwen2.5-vl
18,1.0,0.0,0.309,0.02506335168394555,0.25,10,llm,qwen2.5-vl
21,1.0,0.0,0.3249230769230769,0.026647379612950425,0.25,10,llm,qwen2.5-vl
24,1.0,0.0,0.3219230769230769,0.042670125907599755,0.25,10,llm,qwen2.5-vl
27,1.0,0.0,0.3257692307692308,0.044636931136691906,0.25,10,llm,qwen2.5-vl
