model,task,metric,value,n
internvl2.5,order,P(YES),0.0,1300
llava-next-video,order,P(YES),0.0,1300
molmo2,order,P(YES),0.5715384615384616,1300
qwen2.5-vl,order,P(YES),0.008461538461538461,1300
video-llama2,order,P(YES),1.0,1300
videochat-flash,order,P(YES),0.0876923076923077,1300
videollama3,order,P(YES),,0
internvl2.5,simultaneity,P(YES),0.0,600
llava-next-video,simultaneity,P(YES),0.0,600
molmo2,simultaneity,P(YES),0.0,600
qwen2.5-vl,simultaneity,P(YES),1.0,600
video-llama2,simultaneity,P(YES),1.0,600
videochat-flash,simultaneity,P(YES),0.0,600
videollama3,simultaneity,P(YES),,0
internvl2.5,interval,P(A),0.27307692307692305,1300
internvl2.5,interval,P(B),0.7269230769230769,1300
internvl2.5,interval,P(C),0.0,1300
internvl2.5,interval,P(D),0.0,1300
llava-next-video,interval,P(A),0.0,1300
llava-next-video,interval,P(B),1.0,1300
llava-next-video,interval,P(C),0.0,1300
llava-next-video,interval,P(D),0.0,1300
molmo2,interval,P(A),0.696923076923077,1300
molmo2,interval,P(B),0.0,1300
molmo2,interval,P(C),0.2153846153846154,1300
molmo2,interval,P(D),0.0876923076923077,1300
qwen2.5-vl,interval,P(A),0.49,1300
qwen2.5-vl,interval,P(B),0.51,1300
qwen2.5-vl,interval,P(C),0.0,1300
qwen2.5-vl,interval,P(D),0.0,1300
video-llama2,interval,P(A),0.8707692307692307,1300
video-llama2,interval,P(B),0.0,1300
video-llama2,interval,P(C),0.0,1300
video-llama2,interval,P(D),0.12923076923076923,1300
videochat-flash,interval,P(A),1.0,1300
videochat-flash,interval,P(B),0.0,1300
videochat-flash,interval,P(C),0.0,1300
videochat-flash,interval,P(D),0.0,1300
videollama3,interval,P(A),,0
videollama3,interval,P(B),,0
videollama3,interval,P(C),,0
videollama3,interval,P(D),,0
