path,interval_ms,fps,color_a,shape_a,color_b,shape_b,a_first,simultaneous,response,pred,gt,correct
data/sim_videos/fps30/int_0ms/fps30_int0_af_0000.mp4,0,30,red,square,blue,circle,True,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_af_0001.mp4,0,30,green,circle,red,square,True,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_bf_0002.mp4,0,30,blue,square,green,circle,False,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_bf_0003.mp4,0,30,blue,square,green,circle,False,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_bf_0004.mp4,0,30,green,circle,red,square,False,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_af_0005.mp4,0,30,blue,square,green,circle,True,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_bf_0006.mp4,0,30,red,square,blue,circle,False,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_bf_0007.mp4,0,30,blue,square,green,circle,False,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_af_0008.mp4,0,30,red,square,blue,circle,True,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_bf_0009.mp4,0,30,green,circle,red,square,False,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_af_0010.mp4,0,30,red,square,blue,circle,True,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_af_0011.mp4,0,30,green,circle,red,square,True,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_af_0012.mp4,0,30,red,square,blue,circle,True,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_af_0013.mp4,0,30,red,square,blue,circle,True,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_bf_0014.mp4,0,30,blue,square,green,circle,False,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_bf_0015.mp4,0,30,green,circle,red,square,False,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
data/sim_videos/fps30/int_0ms/fps30_int0_bf_0016.mp4,0,30,green,circle,red,square,False,True,"Yes, both shapes started moving at exactly the same time.",1,1,1
