layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,0.9946153846153847,0.007536891516255946,0.3406923076923076,0.02159182948690814,0.25,10,llm,videochat-flash
3,0.963076923076923,0.07193850101992733,0.30776923076923074,0.017036160636445336,0.25,10,llm,videochat-flash
6,0.9438461538461539,0.1123076923076923,0.3083076923076923,0.02480885507114,0.25,10,llm,videochat-flash
9,0.9423076923076923,0.11538461538461538,0.3019230769230769,0.023714899318870015,0.25,10,llm,videochat-flash
12,0.9938461538461538,0.012307692307692308,0.2847692307692307,0.025871324739699397,0.25,10,llm,videochat-flash
15,0.976923076923077,0.04615384615384617,0.28800000000000003,0.02097956176459174,0.25,10,llm,videochat-flash
18,0.9830769230769232,0.03384615384615386,0.29392307692307684,0.01888441955091943,0.25,10,llm,videochat-flash
21,0.9876923076923078,0.024615384615384615,0.28815384615384615,0.028889096241606543,0.25,10,llm,videochat-flash
24,0.9823076923076923,0.03538461538461539,0.2866923076923077,0.017782545793874477,0.25,10,llm,videochat-flash
27,0.9792307692307693,0.041538461538461524,0.3002307692307692,0.02346103404249685,0.25,10,llm,videochat-flash
