layer,real_accuracy,real_std,shuffled_mean,shuffled_std,chance,n_shuffles,stage,model
0,0.9692307692307691,0.061538461538461535,0.3823846153846154,0.02630150624525582,0.25,10,llm,videollama3
3,0.923076923076923,0.15384615384615383,0.3733076923076924,0.033171688934173396,0.25,10,llm,videollama3
6,0.923076923076923,0.15384615384615383,0.3497692307692307,0.03427015884092526,0.25,10,llm,videollama3
9,0.923076923076923,0.15384615384615383,0.364,0.04088488674922606,0.25,10,llm,videollama3
12,0.923076923076923,0.15384615384615383,0.34138461538461534,0.02635847550161487,0.25,10,llm,videollama3
15,0.923076923076923,0.15384615384615383,0.3439230769230769,0.0343260557959821,0.25,10,llm,videollama3
18,0.923076923076923,0.15384615384615383,0.3487692307692308,0.031602561502054295,0.25,10,llm,videollama3
21,0.923076923076923,0.15384615384615383,0.3583076923076923,0.03669125945930529,0.25,10,llm,videollama3
24,0.923076923076923,0.15384615384615383,0.3391538461538462,0.0218072513861273,0.25,10,llm,videollama3
27,0.923076923076923,0.15384615384615383,0.3563846153846154,0.03713090548332795,0.25,10,llm,videollama3
